asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name
B007J4T2G8,"Fifty Shades of Grey (Fifty Shades, Book 1)",E L James,Amazon.com Services LLC,https://m.media-amazon.com/images/I/715rLT1TwfL._AC_UY218_.jpg,https://www.amazon.com/dp/B007J4T2G8,4.2,111738,7.99,False,5,False,False,True,,Literature & Fiction
B0CFQD9ZQH,1984,George Orwell,De Marque,https://m.media-amazon.com/images/I/61u1QqUfL-L._AC_UY218_.jpg,https://www.amazon.com/dp/B0CFQD9ZQH,4.6,111618,0.0,False,14,False,False,False,2023-09-27,Politics & Social Sciences
B003JTHWKU,1984,George Orwell,HarperCollins Publishers,https://m.media-amazon.com/images/I/715WdnBHqYL._AC_UY218_.jpg,https://www.amazon.com/dp/B003JTHWKU,4.6,111615,13.99,True,5,False,False,False,2013-09-03,Literature & Fiction
B005BRS8Z6,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91ta1HTUZjL._AC_UY218_.jpg,https://www.amazon.com/dp/B005BRS8Z6,4.7,109641,7.74,False,30,False,False,False,,Religion & Spirituality
B08CHNCDN5,A Court of Silver Flames (A Court of Thorns and Roses Book 5),Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91ucFjH-swL._AC_UY218_.jpg,https://www.amazon.com/dp/B08CHNCDN5,4.8,104612,8.21,False,23,False,True,False,,Science Fiction & Fantasy
B01D8ZE2YS,Born A Crime: Stories from a South African Childhood,Trevor Noah,,https://m.media-amazon.com/images/I/91wPr1HIboL._AC_UY218_.jpg,https://www.amazon.com/dp/B01D8ZE2YS,4.7,103633,0.0,False,4,False,False,False,2016-11-17,History
B01DHWACVY,Born a Crime: Stories from a South African Childhood,Trevor Noah,Random House LLC,https://m.media-amazon.com/images/I/91mePFAgywL._AC_UY218_.jpg,https://www.amazon.com/dp/B01DHWACVY,4.7,103626,14.99,False,9,False,False,False,2016-11-15,Biographies & Memoirs
B01B3DKROQ,Harry Potter: The Complete Collection (1-7),J.K. Rowling,,https://m.media-amazon.com/images/I/81DkH0yVw5L._AC_UY218_.jpg,https://www.amazon.com/dp/B01B3DKROQ,4.9,103523,0.0,False,5,False,False,False,2015-12-14,Literature & Fiction
B073P962D9,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81-cPb94tdL._AC_UY218_.jpg,https://www.amazon.com/dp/B073P962D9,4.3,102146,8.99,True,5,False,False,False,,Literature & Fiction
B098QQGD52,This Is Going to Hurt: Secret Diaries of a Young Doctor,Adam Kay,HarperCollins Publishers,https://m.media-amazon.com/images/I/91Ia+r1f+yL._AC_UY218_.jpg,https://www.amazon.com/dp/B098QQGD52,4.6,100394,13.49,False,9,False,True,False,2022-03-08,Biographies & Memoirs
B0BCP3JP6F,Spare,"Prince Harry, The Duke of Sussex",Random House LLC,https://m.media-amazon.com/images/I/81AVG7Q+oHL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BCP3JP6F,4.5,98646,17.99,False,9,False,True,False,2023-01-10,Biographies & Memoirs
B000FC2L1O,"Outlander: A Novel (Outlander, Book 1)",Diana Gabaldon,Random House LLC,https://m.media-amazon.com/images/I/91tjikkfB6L._AC_UY218_.jpg,https://www.amazon.com/dp/B000FC2L1O,4.6,97484,5.99,False,5,False,False,False,,Literature & Fiction
B079L5DDB4,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,HarperCollins Publishers,https://m.media-amazon.com/images/I/81-Mo20PmgL._AC_UY218_.jpg,https://www.amazon.com/dp/B079L5DDB4,4.3,95669,12.99,False,9,False,True,False,2018-05-01,Biographies & Memoirs
B006IE2IO8,The Song of Achilles: A Novel,Madeline Miller,HarperCollins Publishers,https://m.media-amazon.com/images/I/71u2rYjpD8L._AC_UY218_.jpg,https://www.amazon.com/dp/B006IE2IO8,4.6,92806,14.99,True,5,False,True,False,2012-03-06,Literature & Fiction
B00TY3ZKG8,After You: A Novel (Me Before You Trilogy Book 2),Jojo Moyes,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/71w6dzi4nYL._AC_UY218_.jpg,https://www.amazon.com/dp/B00TY3ZKG8,4.2,92528,12.99,False,5,False,False,True,,Literature & Fiction
B01AQNYZ3I,Small Great Things: A Novel,Jodi Picoult,Random House LLC,https://m.media-amazon.com/images/I/81kixvlLxpL._AC_UY218_.jpg,https://www.amazon.com/dp/B01AQNYZ3I,4.6,92229,13.99,False,5,False,True,False,2016-10-11,Literature & Fiction
B07NKP3JL4,The Giver of Stars: A Novel,Jojo Moyes,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81XCE1hMxrS._AC_UY218_.jpg,https://www.amazon.com/dp/B07NKP3JL4,4.6,92135,9.99,False,5,False,False,True,2019-10-08,Literature & Fiction
B00OICLVBI,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81fA-i7ednL._AC_UY218_.jpg,https://www.amazon.com/dp/B00OICLVBI,4.8,90467,8.45,False,30,False,False,False,,Religion & Spirituality
B00B7NPRY8,Dune,Frank Herbert,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/910N36lR+kL._AC_UY218_.jpg,https://www.amazon.com/dp/B00B7NPRY8,4.7,89715,9.99,False,5,False,False,False,,Literature & Fiction
B0192CTMWS,Harry Potter and the Deathly Hallows,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81DqEHVHRIL._AC_UY218_.jpg,https://www.amazon.com/dp/B0192CTMWS,4.9,88547,9.99,True,5,False,False,False,,Literature & Fiction
B0192CTMW8,Harry Potter and the Chamber of Secrets,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81Wbfijio4L._AC_UY218_.jpg,https://www.amazon.com/dp/B0192CTMW8,4.8,88459,9.99,True,5,True,False,False,,Literature & Fiction
B08X48G5VL,The Keeper of Happy Endings,Barbara Davis,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81ej-GuREkL._AC_UY218_.jpg,https://www.amazon.com/dp/B08X48G5VL,4.6,88401,2.49,True,5,True,False,False,2021-10-01,Literature & Fiction
B0B9P28HJL,Heart Bones: A Novel,Colleen Hoover,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71xfqYHdhUL._AC_UY218_.jpg,https://www.amazon.com/dp/B0B9P28HJL,4.6,85343,13.99,False,5,False,True,False,2022-10-04,Literature & Fiction
B0BGDM197Q,Fourth Wing (The Empyrean Book 1),Rebecca Yarros,Macmillan,https://m.media-amazon.com/images/I/914HWd0RxsL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BGDM197Q,4.8,84988,14.99,False,23,False,True,False,,Science Fiction & Fantasy
